,Team,Prize,NumTournaments,Year
366,Kyoto eSports,"$4,175.00",2 Tournaments,2017
367,Rhinos Gaming,"$4,063.41",2 Tournaments,2017
368,T Show,"$4,015.53",6 Tournaments,2017
369,Belarusian National Team,"$4,000.00",1 Tournament,2017
370,Bulgarian National Team,"$4,000.00",1 Tournament,2017
371,Chilean National Team,"$4,000.00",1 Tournament,2017
372,Croatian National Team,"$4,000.00",1 Tournament,2017
373,ESC Gaming,"$4,000.00",1 Tournament,2017
374,Hong Kong National Team,"$4,000.00",1 Tournament,2017
375,Indonesian National Team,"$4,000.00",1 Tournament,2017
376,Kazakh National Team,"$4,000.00",1 Tournament,2017
377,Kungarna,"$4,000.00",1 Tournament,2017
378,Peruvian National Team,"$4,000.00",1 Tournament,2017
379,Philippines National Team,"$4,000.00",1 Tournament,2017
380,Slovakian National Team,"$4,000.00",1 Tournament,2017
381,Swiss National Team,"$4,000.00",1 Tournament,2017
382,Thunder Awaken,"$4,000.00",2 Tournaments,2017
383,Fly Society,"$3,915.45",3 Tournaments,2017
384,Keep Gaming,"$3,816.12",4 Tournaments,2017
385,For The Win Esports,"$3,748.74",4 Tournaments,2017
386,Nemiga Gaming,"$3,700.00",2 Tournaments,2017
387,Orange Esports,"$3,677.22",4 Tournaments,2017
388,DAMWON Gaming,"$3,605.60",1 Tournament,2017
389,Horde,"$3,500.00",2 Tournaments,2017
390,PACT,"$3,358.00",4 Tournaments,2017
391,Aera Esport,"$3,279.07",1 Tournament,2017
392,Balance Gaming,"$3,230.00",8 Tournaments,2017
393,Synthetik,"$3,006.49",4 Tournaments,2017
394,Dynamo Kyiv Esports,"$3,000.00",2 Tournaments,2017
395,Fraternitas,"$2,971.18",6 Tournaments,2017
396,Made in Thailand,"$2,783.10",7 Tournaments,2017
397,Elite Wolves,"$2,620.32",3 Tournaments,2017
398,Goliath Gaming,"$2,507.00",3 Tournaments,2017
399,Broken Tier,"$2,428.80",5 Tournaments,2017
400,Solary,"$2,295.18",2 Tournaments,2017
401,Beyond Esports,"$2,289.37",3 Tournaments,2017
402,Team YP,"$2,230.80",4 Tournaments,2017
403,Melee it on Me,"$2,220.52",13 Tournaments,2017
404,Epiphany Bolt,"$2,187.52",3 Tournaments,2017
405,Riddle Esports,"$2,112.80",2 Tournaments,2017
406,Team Heir,"$2,055.19",11 Tournaments,2017
407,qwerty,"$2,000.00",1 Tournament,2017
408,VRS Coanda Simsport,"$2,000.00",1 Tournament,2017
409,Team LEISURE,"$1,975.32",4 Tournaments,2017
410,Carbon,"$1,901.40",8 Tournaments,2017
411,mCon esports Rotterdam,"$1,768.82",2 Tournaments,2017
412,SJ Gaming,"$1,763.10",1 Tournament,2017
413,Mkers,"$1,683.83",2 Tournaments,2017
414,UYU,"$1,678.20",2 Tournaments,2017
415,orKs Grand Poitiers,"$1,631.80",4 Tournaments,2017
416,Supersonic Avengers,"$1,564.40",2 Tournaments,2017
417,Great British Pounding,"$1,502.64",1 Tournament,2017
418,Team Prismatic,"$1,411.39",8 Tournaments,2017
419,Team Aretuza,"$1,356.66",4 Tournaments,2017
420,dizLown,"$1,250.00",1 Tournament,2017
421,Project EVERSIO,"$1,194.13",3 Tournaments,2017
422,White Rabbit Gaming,"$1,070.47",1 Tournament,2017
423,E-corp Gaming,"$1,055.41",1 Tournament,2017
424,CheckSix Gaming,"$1,000.00",1 Tournament,2017
425,Malvinas Gaming,"$1,000.00",2 Tournaments,2017
426,EMP,$959.30,3 Tournaments,2017
427,UX Gaming,$950.94,6 Tournaments,2017
428,Ground Zero Gaming,$930.67,2 Tournaments,2017
429,Control Gaming,$862.50,10 Tournaments,2017
430,Trail Gaming League,$837.58,1 Tournament,2017
431,BOT Empire,$822.80,4 Tournaments,2017
432,Mentality Esports,$809.20,2 Tournaments,2017
433,Empire Arcadia,$798.20,4 Tournaments,2017
434,Olympus Esports,$733.80,4 Tournaments,2017
435,Game Agents,$712.28,1 Tournament,2017
436,Pittsburgh Knights,$696.00,1 Tournament,2017
437,Black Craft Spirits,$600.60,3 Tournaments,2017
438,Trident Esports,$600.00,1 Tournament,2017
439,Team Heretics,$594.80,1 Tournament,2017
440,NASR eSports,$522.87,2 Tournaments,2017
441,Copenhagen Flames,$500.00,1 Tournament,2017
442,Mirage,$500.00,1 Tournament,2017
443,eMonkeyz,$453.84,2 Tournaments,2017
444,Furious Gaming,$444.12,2 Tournaments,2017
445,FStep,$400.00,1 Tournament,2017
446,LowLandLions,$389.11,4 Tournaments,2017
447,Fable eSports,$368.50,4 Tournaments,2017
448,Game Fist,$312.56,1 Tournament,2017
449,Myth Gaming,$300.00,1 Tournament,2017
450,Permafrost Gaming,$299.00,3 Tournaments,2017
451,Team Ascension,$211.20,2 Tournaments,2017
452,Aftermath,$200.00,1 Tournament,2017
453,Rabbit Deaf e-Sports,$186.89,7 Tournaments,2017
454,Team EGO,$151.68,4 Tournaments,2017
455,ExAequo,$150.00,1 Tournament,2017
456,Paradox Esports,$150.00,1 Tournament,2017
457,G-Force,$145.00,1 Tournament,2017
458,Red Coin,$140.00,1 Tournament,2017
459,Enemy,$133.25,2 Tournaments,2017
460,GamersLeague eSport,$129.60,2 Tournaments,2017
461,Team Innova,$125.00,1 Tournament,2017
462,Kingsmen,$108.00,1 Tournament,2017
463,Defenses Geniuses,$78.39,1 Tournament,2017
464,Eraiize,$75.32,1 Tournament,2017
465,BOT,$45.86,3 Tournaments,2017
466,RELAPSE Gaming,$31.97,1 Tournament,2017
467,Team Menace.fi,$23.21,1 Tournament,2017
468,Boreal eSports,$14.85,1 Tournament,2017
0,OG,"$11,464,087.45",23 Tournaments,2018
1,Team Liquid,"$6,657,071.50",271 Tournaments,2018
2,Paris Saint-Germain Esports,"$5,349,687.41",21 Tournaments,2018
3,Evil Geniuses,"$4,197,737.78",60 Tournaments,2018
4,Virtus.pro,"$3,912,752.59",46 Tournaments,2018
5,Astralis,"$3,651,650.00",20 Tournaments,2018
6,Fnatic,"$3,636,891.55",92 Tournaments,2018
7,Vici Gaming,"$3,021,139.77",38 Tournaments,2018
8,Invictus Gaming,"$2,943,584.45",31 Tournaments,2018
9,FaZe Clan,"$2,777,388.00",83 Tournaments,2018
10,Team Secret,"$2,325,155.64",58 Tournaments,2018
11,Cloud9,"$2,121,585.98",106 Tournaments,2018
12,OpTic Gaming,"$2,060,427.25",56 Tournaments,2018
13,Natus Vincere,"$1,751,690.58",45 Tournaments,2018
14,Gen.G Esports,"$1,694,485.65",27 Tournaments,2018
15,Royal Never Give Up,"$1,535,574.56",17 Tournaments,2018
16,Hero JiuJing,"$1,502,300.00",3 Tournaments,2018
17,G2 Esports,"$1,451,276.68",69 Tournaments,2018
18,Ghost Gaming,"$1,276,105.25",70 Tournaments,2018
19,London Spitfire,"$1,251,238.50",6 Tournaments,2018
20,EDward Gaming,"$1,248,805.50",16 Tournaments,2018
21,Splyce,"$1,197,532.42",98 Tournaments,2018
22,Mineski,"$1,147,884.85",18 Tournaments,2018
23,mousesports,"$1,098,621.70",59 Tournaments,2018
24,Russian National Team,"$1,075,000.00",6 Tournaments,2018
25,eUnited,"$1,063,458.72",71 Tournaments,2018
26,Yoshimoto,"$1,006,400.00",3 Tournaments,2018
27,NRG Esports,"$897,548.82",65 Tournaments,2018
28,Team Dignitas,"$873,060.75",49 Tournaments,2018
29,ENCE eSports,"$754,444.03",37 Tournaments,2018
30,Jin Air Green Wings,"$734,130.55",96 Tournaments,2018
31,Team Envy,"$724,224.82",52 Tournaments,2018
32,Flash Wolves,"$710,342.06",20 Tournaments,2018
33,OMG,"$707,519.95",15 Tournaments,2018
34,Newbee,"$693,350.64",25 Tournaments,2018
35,New York Excelsior,"$687,031.50",8 Tournaments,2018
36,paiN Gaming,"$669,663.08",23 Tournaments,2018
37,Echo Fox,"$640,303.18",105 Tournaments,2018
38,Luminosity Gaming,"$615,190.86",41 Tournaments,2018
39,Philadelphia Fusion,"$614,610.00",8 Tournaments,2018
40,Ninjas in Pyjamas,"$606,355.49",37 Tournaments,2018
41,Vitality,"$597,812.74",61 Tournaments,2018
42,Black Dragons e-Sports,"$584,188.00",10 Tournaments,2018
43,MIBR,"$579,150.00",18 Tournaments,2018
44,Tempo Storm,"$561,377.38",72 Tournaments,2018
45,Team KaLiBeR,"$559,000.00",8 Tournaments,2018
46,Rise Nation,"$554,500.00",18 Tournaments,2018
47,DragonX,"$542,339.40",11 Tournaments,2018
48,Rogue,"$513,534.25",27 Tournaments,2018
49,J Team,"$495,722.23",13 Tournaments,2018
50,compLexity Gaming,"$495,411.71",60 Tournaments,2018
51,Space Soldiers,"$485,900.00",23 Tournaments,2018
52,Qiao Gu Reapers,"$484,060.06",4 Tournaments,2018
53,Method,"$481,076.78",47 Tournaments,2018
54,Team SoloMid,"$474,785.06",45 Tournaments,2018
55,TnC Gaming,"$463,685.40",16 Tournaments,2018
56,SK Gaming,"$450,695.41",39 Tournaments,2018
57,Team Serenity,"$443,864.45",4 Tournaments,2018
58,Winstrike Team,"$428,923.04",16 Tournaments,2018
59,Afreeca Freecs,"$428,284.20",16 Tournaments,2018
60,North,"$428,250.00",20 Tournaments,2018
61,Team Kinguin,"$417,682.92",54 Tournaments,2018
62,KT Rolster,"$404,702.00",5 Tournaments,2018
63,Los Angeles Valiant,"$400,000.00",3 Tournaments,2018
64,TOX Gaming,"$390,000.00",4 Tournaments,2018
65,LGD Gaming,"$372,125.91",19 Tournaments,2018
66,AGO Esports,"$348,821.03",36 Tournaments,2018
67,PENTA Sports,"$346,034.94",37 Tournaments,2018
68,TyLoo,"$335,736.54",21 Tournaments,2018
69,Gambit Esports,"$329,758.19",29 Tournaments,2018
70,MVP,"$321,122.48",30 Tournaments,2018
71,Team Atlantis,"$312,267.01",16 Tournaments,2018
72,Snake Esports,"$307,434.60",10 Tournaments,2018
73,HellRaisers,"$302,287.00",19 Tournaments,2018
74,AVANGAR,"$301,339.01",35 Tournaments,2018
75,Red Reserve,"$301,184.68",27 Tournaments,2018
76,BIG,"$297,517.59",43 Tournaments,2018
77,Solary,"$292,411.54",22 Tournaments,2018
78,Team Flash,"$289,825.30",4 Tournaments,2018
79,EURONICS Gaming,"$286,028.93",63 Tournaments,2018
80,Korean National Team,"$284,368.98",8 Tournaments,2018
81,Lazarus,"$280,588.43",66 Tournaments,2018
82,ahq e-Sports Club,"$275,483.36",21 Tournaments,2018
83,100 Thieves,"$273,375.00",12 Tournaments,2018
84,Red Bull eSports,"$265,000.00",2 Tournaments,2018
85,Team Spirit,"$262,868.60",30 Tournaments,2018
86,Renegades,"$259,298.00",27 Tournaments,2018
87,Millenium,"$247,182.43",36 Tournaments,2018
88,Rex Regum Qeon,"$247,077.07",10 Tournaments,2018
89,Illuminar Gaming,"$241,437.43",25 Tournaments,2018
90,Heroic,"$239,000.00",17 Tournaments,2018
91,Welcome to South Georgo,"$237,000.00",4 Tournaments,2018
92,Gank Gaming,"$232,109.67",14 Tournaments,2018
93,Los Angeles Gladiators,"$228,839.00",4 Tournaments,2018
94,Boston Uprising,"$225,000.00",3 Tournaments,2018
95,ORDER,"$224,509.81",24 Tournaments,2018
96,Chiefs Esports Club,"$224,215.81",45 Tournaments,2018
97,Alliance,"$222,088.64",38 Tournaments,2018
98,Keen Gaming,"$215,681.08",18 Tournaments,2018
99,eSuba,"$213,100.22",20 Tournaments,2018
100,Rogue Warriors,"$209,257.33",10 Tournaments,2018
101,Spacestation Gaming,"$206,350.00",53 Tournaments,2018
102,Gentside Esports Club,"$205,369.05",16 Tournaments,2018
103,GamersOrigin,"$202,397.64",57 Tournaments,2018
104,eStar Gaming,"$199,164.50",4 Tournaments,2018
105,17 Gaming,"$198,001.97",7 Tournaments,2018
106,JD Gaming,"$196,321.60",8 Tournaments,2018
107,Tempest,"$190,000.00",6 Tournaments,2018
108,Tricked eSports,"$185,491.34",16 Tournaments,2018
109,EVOS Esports,"$184,067.78",14 Tournaments,2018
110,Vega Squadron,"$179,345.63",20 Tournaments,2018
111,Team LDLC.com,"$170,592.94",26 Tournaments,2018
112,Team Reciprocity,"$169,940.02",14 Tournaments,2018
113,Team expert,"$168,345.19",56 Tournaments,2018
114,We Dem Girlz,"$166,696.69",4 Tournaments,2018
115,OGN Entus,"$165,721.10",18 Tournaments,2018
116,Ballistix,"$165,000.00",5 Tournaments,2018
117,Pittsburgh Knights,"$164,281.50",26 Tournaments,2018
118,Osh-Tekk Warriors,"$161,534.00",2 Tournaments,2018
119,Turnso Gaming,"$159,533.00",1 Tournament,2018
120,Nova eSports,"$157,585.75",12 Tournaments,2018
121,Four Angry Men,"$155,168.92",12 Tournaments,2018
122,Greek National Team,"$153,600.00",2 Tournaments,2018
123,Bazaar Gaming,"$151,646.18",3 Tournaments,2018
124,Tigers,"$148,171.28",3 Tournaments,2018
125,DetonatioN,"$145,820.66",13 Tournaments,2018
126,Team Kongdoo,"$145,107.50",12 Tournaments,2018
127,The Imperial,"$141,800.00",18 Tournaments,2018
128,Mindfreak,"$140,650.00",22 Tournaments,2018
129,Thai National Team,"$140,400.00",3 Tournaments,2018
130,The Gosu Crew,"$136,729.74",19 Tournaments,2018
131,Chinese National Team,"$136,156.33",7 Tournaments,2018
132,Team One,"$133,970.20",12 Tournaments,2018
133,Windigo Gaming,"$133,793.60",57 Tournaments,2018
134,Team RivaL,"$130,000.00",4 Tournaments,2018
135,GODSENT,"$129,685.88",15 Tournaments,2018
136,Supremacy,"$128,642.63",21 Tournaments,2018
137,Planet Odd,"$126,150.00",3 Tournaments,2018
138,Team Aretuza,"$126,050.00",9 Tournaments,2018
139,Immortals,"$126,022.96",26 Tournaments,2018
140,FlyToMoon,"$125,000.00",2 Tournaments,2018
141,Ting,"$124,745.26",28 Tournaments,2018
142,Infamous,"$122,500.00",10 Tournaments,2018
143,Elevate,"$119,000.00",9 Tournaments,2018
144,FlipSid3 Tactics,"$118,065.42",33 Tournaments,2018
145,Team Empire,"$116,943.64",21 Tournaments,2018
146,Actoz Stars,"$116,375.50",9 Tournaments,2018
147,Team Gamer Sensei,"$113,850.00",5 Tournaments,2018
148,Counter Logic Gaming,"$107,088.51",52 Tournaments,2018
149,Top Esports,"$106,261.06",12 Tournaments,2018
150,KaBuM! e-Sports,"$105,033.11",5 Tournaments,2018
151,Thailand National Player,"$103,815.58",2 Tournaments,2018
152,Tainted Minds,"$103,609.15",31 Tournaments,2018
153,Epsilon eSports,"$102,162.77",35 Tournaments,2018
154,Geek Fam,"$101,752.00",4 Tournaments,2018
155,Houston Outlaws,"$101,172.00",3 Tournaments,2018
156,Griffin,"$96,776.00",2 Tournaments,2018
157,ROX Gaming,"$95,893.82",20 Tournaments,2018
158,SuperMassive Blaze,"$95,638.00",3 Tournaments,2018
159,Team Singularity,"$95,478.51",45 Tournaments,2018
160,Myztro Gaming,"$93,088.54",67 Tournaments,2018
161,UYU,"$92,403.01",35 Tournaments,2018
162,Panda Global,"$91,629.37",80 Tournaments,2018
163,Kaos Latin Gamers,"$91,406.35",4 Tournaments,2018
164,Taiwanese National Team,"$89,000.00",5 Tournaments,2018
165,Team Alternate,"$88,656.62",44 Tournaments,2018
166,MAD Lions,"$87,080.81",5 Tournaments,2018
167,All Gamers,"$86,919.90",5 Tournaments,2018
168,Made in Thailand,"$86,616.82",9 Tournaments,2018
169,HAVU Gaming,"$85,732.77",18 Tournaments,2018
170,Team QLASH,"$85,431.02",35 Tournaments,2018
171,LeStream Esport,"$83,500.00",2 Tournaments,2018
172,Dire Wolves,"$83,181.34",5 Tournaments,2018
173,Team Roccat,"$83,042.50",6 Tournaments,2018
174,PSISTORM Gaming,"$82,193.57",105 Tournaments,2018
175,Team Queso,"$80,332.92",6 Tournaments,2018
176,M19,"$79,483.25",7 Tournaments,2018
177,ROOT Gaming,"$77,627.81",71 Tournaments,2018
178,Bravado Gaming,"$76,563.10",10 Tournaments,2018
179,Misfits,"$76,406.63",39 Tournaments,2018
180,Canadian National Team,"$75,400.00",5 Tournaments,2018
181,Seoul Dynasty,"$75,000.00",1 Tournament,2018
182,Gale Force eSports,"$74,000.00",8 Tournaments,2018
183,Grayhound Gaming,"$73,980.59",12 Tournaments,2018
184,RunAway,"$73,881.30",3 Tournaments,2018
185,Endpoint,"$73,712.32",9 Tournaments,2018
186,7more7 Pompa Team,"$72,563.08",20 Tournaments,2018
187,Str8 Rippin,"$72,500.00",6 Tournaments,2018
188,Nordavind,"$71,848.38",33 Tournaments,2018
189,EHOME,"$71,751.49",12 Tournaments,2018
190,Arma Team,"$71,245.59",42 Tournaments,2018
191,Libalent,"$70,992.00",1 Tournament,2018
192,Team Allegiance,"$70,028.33",20 Tournaments,2018
193,Fable eSports,"$69,500.00",5 Tournaments,2018
194,T1,"$69,444.05",13 Tournaments,2018
195,exceL eSports,"$66,276.01",20 Tournaments,2018
196,Brøndby IF eSport,"$64,770.00",4 Tournaments,2018
197,Legacy eSports,"$64,651.95",47 Tournaments,2018
198,PONOS Sports,"$62,500.00",3 Tournaments,2018
199,3DMAX,"$62,069.20",21 Tournaments,2018
200,Kanga Esports,"$61,000.00",5 Tournaments,2018
201,PSV Esports,"$61,000.00",3 Tournaments,2018
202,FlyQuest,"$60,936.25",13 Tournaments,2018
203,Finnish National Team,"$60,850.00",6 Tournaments,2018
204,Movistar Riders,"$60,254.30",17 Tournaments,2018
205,American National Team,"$60,000.00",5 Tournaments,2018
206,Oserv Esport,"$59,106.41",8 Tournaments,2018
207,Schalke 04 Esports,"$58,423.50",1 Tournament,2018
208,Giants Gaming,"$58,420.80",13 Tournaments,2018
209,TitanEX1,"$58,230.99",64 Tournaments,2018
210,Astral Authority,"$56,500.00",2 Tournaments,2018
211,Brazilian National Team,"$55,000.00",2 Tournaments,2018
212,SG esports,"$54,500.00",5 Tournaments,2018
213,Swole Patrol,"$53,950.00",10 Tournaments,2018
214,Manchester City eSports,"$53,150.00",7 Tournaments,2018
215,Florida Mayhem,"$52,816.50",4 Tournaments,2018
216,Resurgence,"$52,388.26",7 Tournaments,2018
217,Sharks Esports,"$52,161.75",7 Tournaments,2018
218,Team Gigantti,"$51,868.45",4 Tournaments,2018
219,SinoDragon,"$51,549.80",2 Tournaments,2018
220,Execration,"$50,500.00",5 Tournaments,2018
221,Victory Five,"$50,256.75",6 Tournaments,2018
222,Athletico,"$50,172.05",6 Tournaments,2018
223,Dallas Fuel,"$50,000.00",1 Tournament,2018
224,Mercedes-AMG Petronas Esports,"$50,000.00",1 Tournament,2018
225,Polar Ace,"$50,000.00",1 Tournament,2018
226,San Francisco Shock,"$50,000.00",1 Tournament,2018
227,BOOM Esports,"$49,478.58",7 Tournaments,2018
228,x6tence,"$49,023.48",10 Tournaments,2018
229,Team Unique,"$48,710.40",4 Tournaments,2018
230,Origen,"$48,501.80",1 Tournament,2018
231,Infinity Esports,"$48,375.00",1 Tournament,2018
232,Rift Esports,"$48,079.11",3 Tournaments,2018
233,INTZ eSports,"$48,044.72",7 Tournaments,2018
234,Sprout,"$47,426.76",11 Tournaments,2018
235,forZe,"$47,296.05",18 Tournaments,2018
236,Fade 2 Karma,"$46,550.00",16 Tournaments,2018
237,Obey Alliance,"$46,250.00",7 Tournaments,2018
238,Isurus Gaming,"$45,565.67",18 Tournaments,2018
239,Norweigan National Team,"$45,000.00",2 Tournaments,2018
240,Team Skadis Gift,"$44,486.08",5 Tournaments,2018
241,FURIA Esports,"$44,425.82",17 Tournaments,2018
242,Talon Esports,"$43,069.62",6 Tournaments,2018
243,British National Team,"$43,000.00",3 Tournaments,2018
244,OSC Elite,"$40,737.28",56 Tournaments,2018
245,World Elite,"$40,608.40",1 Tournament,2018
246,Cream Esports,"$40,000.00",1 Tournament,2018
247,Toro Rosso Esports Team,"$40,000.00",1 Tournament,2018
248,University of Illinois at Urbana-Champaign,"$40,000.00",1 Tournament,2018
249,Keyd Stars,"$39,148.73",6 Tournaments,2018
250,QM Gaming,"$38,430.50",3 Tournaments,2018
251,Lightning Pandas,"$37,829.32",4 Tournaments,2018
252,DeToNator,"$37,285.75",6 Tournaments,2018
253,Wildcard Gaming,"$37,195.00",8 Tournaments,2018
254,Unlimited Potential,"$36,983.20",2 Tournaments,2018
255,Ajax Amsterdam eSports,"$36,426.12",6 Tournaments,2018
256,Sunsister,"$36,080.00",2 Tournaments,2018
257,GameWith,"$36,000.00",2 Tournaments,2018
258,Mock-It eSports,"$35,938.94",8 Tournaments,2018
259,Hong Kong Attitude,"$35,767.55",6 Tournaments,2018
260,Dutch National Team,"$35,500.00",3 Tournaments,2018
261,Swedish National Team,"$35,400.00",4 Tournaments,2018
262,Forward Gaming,"$35,010.00",3 Tournaments,2018
263,Hong Kong National Team,"$35,000.00",2 Tournaments,2018
264,J.Storm,"$35,000.00",2 Tournaments,2018
265,PRIDE Gaming,"$34,950.75",22 Tournaments,2018
266,French National Team,"$34,750.00",4 Tournaments,2018
267,Australian National Team,"$34,600.00",3 Tournaments,2018
268,froyotech,"$34,456.73",8 Tournaments,2018
269,Copenhagen Flames,"$34,006.89",9 Tournaments,2018
270,Sauber F1 Esports Team,"$34,000.00",1 Tournament,2018
271,Ronin Esports,"$33,876.20",6 Tournaments,2018
272,CR4ZY,"$33,225.50",17 Tournaments,2018
273,against All authority,"$33,080.71",14 Tournaments,2018
274,RoX,"$32,920.00",2 Tournaments,2018
275,Nora-Rengo,"$32,905.00",5 Tournaments,2018
276,Team Aster,"$32,168.60",4 Tournaments,2018
277,Avant Gaming,"$31,899.52",10 Tournaments,2018
278,Bilibili Gaming,"$31,582.60",1 Tournament,2018
279,pro100,"$31,193.81",11 Tournaments,2018
280,Kuala Lumpur Hunters,"$31,000.00",2 Tournaments,2018
281,PACT,"$30,553.65",15 Tournaments,2018
282,SCARZ,"$30,479.36",2 Tournaments,2018
283,Sentinels,"$30,400.00",11 Tournaments,2018
284,mYinsanity,"$30,001.40",66 Tournaments,2018
285,New Zealand National Team,"$30,000.00",1 Tournament,2018
286,Wind and Rain,"$28,896.35",20 Tournaments,2018
287,DefuseKids,"$28,531.11",10 Tournaments,2018
288,Infantry Clan,"$28,103.20",4 Tournaments,2018
289,GC Busan,"$28,035.00",5 Tournaments,2018
290,Cascade,"$27,933.21",42 Tournaments,2018
291,Blank Esports,"$27,129.00",2 Tournaments,2018
292,Spanish National Team,"$27,000.00",2 Tournaments,2018
293,Team SMG,"$26,545.49",2 Tournaments,2018
294,McLaren Shadow,"$26,000.00",1 Tournament,2018
295,RED Canids,"$25,423.85",5 Tournaments,2018
296,GAM Esports,"$25,020.00",4 Tournaments,2018
297,Shanghai Dragons,"$25,000.00",1 Tournament,2018
298,Purple Mood E-Sport,"$24,185.01",6 Tournaments,2018
299,Signature Gaming,"$23,177.42",5 Tournaments,2018
300,O'Gaming,"$23,036.14",26 Tournaments,2018
301,Swiss National Team,"$23,000.00",2 Tournaments,2018
302,Team Admiral,"$23,000.00",2 Tournaments,2018
303,Chaos Esports Club,"$22,850.00",10 Tournaments,2018
304,Vietnamese National Team,"$22,500.00",3 Tournaments,2018
305,CYCLOPS athlete gaming,"$22,118.74",5 Tournaments,2018
306,Ukranian National Team,"$22,000.00",2 Tournaments,2018
307,Asterion,"$21,949.18",24 Tournaments,2018
308,Circa eSports,"$21,551.47",17 Tournaments,2018
309,Energy Esports,"$21,278.31",6 Tournaments,2018
310,ad hoc gaming,"$20,896.86",7 Tournaments,2018
311,Rainbow7,"$20,557.80",1 Tournament,2018
312,Bulgarian National Team,"$20,000.00",1 Tournament,2018
313,Clutch Gaming,"$20,000.00",1 Tournament,2018
314,Hype Energy eForce India,"$20,000.00",1 Tournament,2018
315,Team Infused,"$20,000.00",1 Tournament,2018
316,Yeah Gaming,"$19,888.67",10 Tournaments,2018
317,German National Team,"$19,800.00",2 Tournaments,2018
318,Team DK,"$19,648.82",7 Tournaments,2018
319,Luminous Stars,"$19,492.64",4 Tournaments,2018
320,Reason Gaming,"$19,489.20",8 Tournaments,2018
321,Polish National Team,"$19,400.00",2 Tournaments,2018
322,SJ Gaming,"$19,152.15",9 Tournaments,2018
323,Danish National Team,"$19,000.00",2 Tournaments,2018
324,Italian National Team,"$19,000.00",2 Tournaments,2018
325,Japanese National Team,"$19,000.00",2 Tournaments,2018
326,Peruvian National Team,"$19,000.00",3 Tournaments,2018
327,mCon esports Rotterdam,"$18,955.31",8 Tournaments,2018
328,Beşiktaş e-Sports Club,"$18,782.08",6 Tournaments,2018
329,Austrian National Team,"$18,600.00",2 Tournaments,2018
330,bbq Olivers,"$18,520.00",2 Tournaments,2018
331,Izako Boars,"$17,663.27",11 Tournaments,2018
332,Ground Zero Gaming,"$17,520.17",4 Tournaments,2018
333,Element Mystic,"$17,387.50",1 Tournament,2018
334,MEGA Esports,"$17,026.30",3 Tournaments,2018
335,GameTV,"$16,488.97",17 Tournaments,2018
336,Entity Gaming,"$16,437.82",5 Tournaments,2018
337,Demise,"$16,074.85",4 Tournaments,2018
338,OFFSET Esports,"$16,009.86",8 Tournaments,2018
339,Noble eSports,"$15,900.00",6 Tournaments,2018
340,Exalty,"$15,750.46",13 Tournaments,2018
341,CrowCrowd,"$15,710.00",1 Tournament,2018
342,Kyoto eSports,"$15,640.70",8 Tournaments,2018
343,Bigetron eSports,"$15,411.93",2 Tournaments,2018
344,For The Win Esports,"$15,366.95",11 Tournaments,2018
345,Even Matchup Gaming,"$15,340.18",24 Tournaments,2018
346,K1CK,"$14,826.38",7 Tournaments,2018
347,Werder Bremen eSports,"$14,638.80",2 Tournaments,2018
348,Belgian National Team,"$14,400.00",2 Tournaments,2018
349,Tollenz Lions,"$14,323.49",19 Tournaments,2018
350,Dark Sided,"$14,264.28",19 Tournaments,2018
351,CNB e-Sports Club,"$14,098.33",2 Tournaments,2018
352,Burrito Esports,"$14,040.00",3 Tournaments,2018
353,Phoenix1,"$13,866.94",12 Tournaments,2018
354,Sector One,"$13,831.19",10 Tournaments,2018
355,Signify,"$13,829.29",2 Tournaments,2018
356,Armory Gaming,"$13,738.26",3 Tournaments,2018
357,Kazakh National Team,"$13,600.00",2 Tournaments,2018
358,Denial Esports,"$13,435.20",19 Tournaments,2018
359,MnM Gaming,"$13,417.75",9 Tournaments,2018
360,Fudoh,"$13,275.00",1 Tournament,2018
361,Nemiga Gaming,"$12,831.79",10 Tournaments,2018
362,Nexus Gaming,"$12,623.72",9 Tournaments,2018
363,DreamEaters,"$12,535.70",5 Tournaments,2018
364,Enigma6 Group,"$12,500.00",1 Tournament,2018
365,Team Heretics,"$12,500.00",1 Tournament,2018
366,Beyond Esports,"$12,354.84",2 Tournaments,2018
367,H2K,"$12,241.00",1 Tournament,2018
368,Portugese National Team,"$12,000.00",1 Tournament,2018
369,Singaporian National Team,"$12,000.00",1 Tournament,2018
370,Helsinki REDS,"$11,843.88",5 Tournaments,2018
371,Team Revolution,"$11,514.46",27 Tournaments,2018
372,Dragons Esports Club,"$11,506.87",3 Tournaments,2018
373,PotM Bottom,"$11,454.00",1 Tournament,2018
374,Team SPACECRAFT,"$11,318.56",20 Tournaments,2018
375,Echo Zulu,"$11,216.07",6 Tournaments,2018
376,Cooler Esport,"$10,905.93",3 Tournaments,2018
377,Neon Esports,"$10,692.75",1 Tournament,2018
378,Lucid Dream,"$10,538.71",4 Tournaments,2018
379,Xavier Esports,"$10,493.08",3 Tournaments,2018
380,Mkers,"$10,184.57",5 Tournaments,2018
381,Carleton University,"$10,000.00",1 Tournament,2018
382,Serbian National Team,"$10,000.00",1 Tournament,2018
383,Williams Esports,"$10,000.00",1 Tournament,2018
384,Coalition Gaming,"$9,951.55",16 Tournaments,2018
385,Star Horn Royal Club,"$9,924.12",2 Tournaments,2018
386,Temp.no,"$9,623.79",3 Tournaments,2018
387,DIVIZON,"$9,593.17",4 Tournaments,2018
